"azonosito","nev","kod","datum","kezdoenek","konyorges","felajanlo","prefacio","aldozasi","aldozasutani"
"11","Szent Sebestyén vértanú","4","01-20b",,,,,,
"12","Szent Ágnes szűz és vértanú","3","01-21",,,,,,
"13","Boldog Batthyány-Strattmann László","4","01-22a",,,,,,
"14","Szent Vince diakónus és vértanú","4","01-22b",,,,,,
"15","Szalézi Szent Ferenc püspök és egyháztanító","3","01-24",,,,,,
"16","Szent Pál apostol megtérése","2","01-25","Misekönyv 572. oldal<br>
Tudom, kinek hittem, és biztos vagyok benne,
hogy az igazságos Bíró meg tudja őrizni
rábízott kincsemet a végső napig. 
(2Tim 1,12; 4,8)","Istenünk, te Szent Pál apostol igehirdetésével
az egész világot tanítottad.
Megtérésének mai szent ünnepén kérünk,
segíts, hogy példáját követve
tanúságot tegyünk igazságodról a világban.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk,
te isteni titkokat nyilatkoztattál ki nekünk.
Kérünk, hogy Szentlelked adja meg nekünk is
a hitnek azt a fényességét,
amellyel Szent Pál apostolt megvilágosította,
hogy dicsőségedet hirdesse a nemzetek között.
Krisztus, a mi Urunk által.","I. prefáció az apostolokról, Misekönyv 461. oldal","Az Isten Fiába vetett hitben élek,
aki szeretett engem, és önmagát adta értem. (Vö. Gal 2,20)","Urunk, Istenünk,
add, hogy a szentségek, amelyekben részesültünk,
szítsák föl bennünk a szeretet tüzét,
amely Szent Pál apostolnak is erőt adott,
hogy az összes egyház gondját magára vegye.
Krisztus, a mi Urunk által."
"17","Szent Timóteusz és Szent Titusz püs­pö­kök","3","01-26","Misekönyv 573. oldal<br>
Hirdessétek a nemzetek között Isten dicsőségét,
csodatetteit minden népnek,
mert nagy az Úr és minden dicséretre méltó. 
(Zsolt 95,3-4)","Istenünk, te Szent Timóteust és Szent Tituszt
apostoli erényekkel ékesítetted.
Közbenjárásukra add,
hogy szentül és buzgón éljünk ezen a világon,
és így méltók legyünk eljutni az örök hazába.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Urunk, Istenünk,
fogadd el néped áldozati adományait,
amelyeket Szent Timóteus és Szent Titusz ünnepén
hozunk eléd.
Tekintsd őszinte szívünket,
és tégy minket is előtted kedves áldozattá.
Krisztus, a mi Urunk által.",,"Menjetek az egész világra,
és hirdessétek az Evangéliumot,
és én veletek vagyok mindennap
– mondja az Úr. 
(Mk 16,15; Mt 28,20)","Urunk, Istenünk, add, hogy az áldozat,
amelyben részesültünk,
erősítse bennünk a hitet,
amelyet az apostoli igehirdetés terjesztett,
és Szent Timóteus és Szent Titusz
lelkipásztori gondoskodása védelmezett.
Krisztus a mi Urunk által."
"18","Merici Szent Angéla szűz","4","01-27",,,,,,
"19","Aquinói Szent Tamás áldozópap és egyháztanító","3","01-28",,,,,,
"20","Bosco Szent János áldozópap","3","01-31",,,,,,
"22","Urunk bemutatása (Gyertyaszentelő Boldogasszony)","2","02-02","Misekönyv 579. oldal <br>
Befogadtuk, Istenünk, irgalmasságodat
templomod belsejében.
Miként neved, Istenünk,
úgy dicséreted is betölti a föld határait,
jobbod telve igazsággal. 
(Vö. Zsolt 47,10-11)","Mindenható, örök Isten,
egyszülött Fiadat ma emberi testünk valóságában
mutatták be templomodban.
Tisztítsd meg szívünket,
hogy méltók legyünk egykor mi is megjelenni előtted.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, legyen kedves előtted az áldozati adomány,
amelyet ujjongó lélekkel bemutat Egyházad,
hiszen te akartad,
hogy felajánlja neked áldozatul a világ életéért 
egyszülött Fiadat, a szeplőtelen Bárányt.
Aki él és uralkodik mindörökkön örökké.","<i>Urunk bemutatásának titka</i><br>
Az Úr legyen veletek. H.: És a te lelkeddel.<br>
Emeljük föl szívünket. H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek. H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
– mi Urunk, szentséges Atyánk,
mindenható, örök Isten:
<br>
Mert szent Fiadat, örökkévalóságod részesét,
ma templomodban bemutatták néked,
s a Szentlélek kinyilvánította róla,
– hogy világossága lesz minden nemzetnek
és dicsősége választott népednek.
<br>
Az Üdvözítőhöz mi is örvendezve járulunk,
az angyalokkal és a szentekkel együtt
– áldunk Téged,
és vég nélkül mondjuk (zengjük):","Meglátták már szemeim a te üdvösséged,
melyet elkészítettél minden nép színe előtt. (Lk 2,30-31)","Magunkhoz vett szentséged
tegye tökéletessé bennünk kegyelmed művét, Istenünk,
aki betöltötted Simeon szíve vágyát,
és nem halt meg, amíg karjaiba nem fogadta a Messiást.
Engedd, hogy életutunkon mi is találkozzunk szent Fiaddal
és elnyerjük az örök életet.
Krisztus, a mi Urunk által."
"23","Szent Balázs püspök és vértanú","4","02-03",,,,,,
"24","Szent Anszgár (Oszkár) püspök","4","02-03b",,,,,,
"25","Szent Ágota szűz és vértanú","3","02-05",,,,,,
"26","Miki Szent Pál és társai vértanúk","3","02-06",,,,,,
"27","Emiliáni Szent Jeromos","4","02-08a",,,,,,
"28","Bakhita Szent Josefina Szűz","4","02-08b",,,,,,
"29","Szent Skolasztika szűz","4","02-10",,,,,,
"31","Szent Cirill szerzetes és Szent Me­tód püspök, Európa társvédőszentjei","2","02-14","Misekönyv 585. oldal<br>
Ezek a szent férfiak, akik Isten barátai lettek,
és Isten igazságának hirdetése által szereztek
dicsőséget maguknak.","Istenünk, te a két szent testvér, Cirill és Metód által
vezetted el a szláv népeket az evangélium világosságára.
Add, hogy tanításodat mi is szívünkbe fogadjuk,
és mindnyájan egy néppé legyünk 
az igaz hit megvallásában.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, tekints adományainkra,
melyeket a Szent Cirillre és Metódra emlékezve
Fölségednek felajánlunk,
és add, hogy annak az új emberiségnek
a jelei legyenek,
amely a szeretetben kiengesztelődött veled.
Krisztus, a mi Urunk által.",,"A tanítványok pedig elmentek,
és hirdették az Evangéliumot mindenütt.
Az Úr velük együtt munkálkodott,
a tanítást megerősítette, s csodajelekkel kísérte. (Vö. Mk 16,20)","Istenünk, minden nép Atyja,
te bennünket az egy kenyérben
és az egy Lélekben való részesedés által
a mennyei örök lakoma örököseivé teszel.
Add, kérünk, hogy Szent Cirill és Metód
ezen ünnepén gyermekeid sokasága
a közös hitben megerősödve,
egymással egyetértésben építse
az igazságosság és a béke országát.
Krisztus a mi Urunk által."
"34","Szent Péter apostol székfoglalása","2","02-22","Misekönyv 687. oldal<br>
Az Úr így szólt Simon Péterhez:
könyörögtem érted, nehogy meginogj a hitedben,
és egykor megtérve, megerősítsd testvéreidet. (Lk 22,32)","Mindenható Istenünk,
te Péter apostol hitvallásával sziklaalapra állítottál minket.
Segíts, hogy rendületlenül helytálljunk minden viszontagságban.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk, fogadd jóságosan Egyházad imáját és áldozatát,
hogy Szent Péternek mint főpásztornak nyájaként
mennyei örökségünk birtokába juthassunk,
miután az ő tanításából csorbítatlanul megismertük a hit teljességét.
Krisztus, a mi Urunk által.","I. prefáció az apostolokról, Misekönyv 461. oldal","Péter így szólt Jézushoz:
Te vagy Krisztus, az élő Isten Fia.
Jézus így válaszolt:
Te Péter vagy (azaz Kőszikla),
és én erre a sziklára építem Egyházamat.(Vö. Mt 16,16.18)","Istenünk, te Szent Péter apostol ünnepén
Krisztus testével és vérével tápláltál minket.
Kérünk, tedd az egység és béke zálogává
amit az áldozatban a kenyér és bor színe alatt kaptunk.
Krisztus, a mi Urunk által."
"36","Szent Mátyás apostol","2","02-24","Misekönyv 588. oldal<br>
Nem ti választottatok engem – mondja az Úr –,
hanem én választottalak titeket, s arra rendeltelek,
hogy elmenjetek, gyümölcsöt hozzatok,
és gyümölcsötök maradandó legyen. (Jn 15,16)","Istenünk, te Szent Mátyást fölvetted az apostolok testületébe.
Közbenjárására add, hogy szereteted boldog részeseiként
eljussunk választottaid közé.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd kegyesen Egyházad adományait,
amelyeket Szent Mátyás ünnepén tisztelettel felajánlunk neked,
és erősíts meg minket kegyelmed erejével.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Az az én parancsom, hogy szeressétek egymást,
amint én szerettelek benneteket - mondja az Úr. (Jn 15,12)","Házad népét halmozd el szüntelen mennyei ajándékaiddal, Urunk, Istenünk,
hogy Szent Mátyás apostol közbenjárására
eljussunk szentjeid közé az örök élet világosságára.
Krisztus, a mi Urunk által."
"30","A lourdes-i Boldogságos Szűz Mária","4","02-11",,,,,,
"32","A Szervita rend hét szent alapítója","4","02-17",,,,,,
"33","Damiáni Szent Péter püspök és egyháztanító","4","02-21",,,,,,
"35","Szent Polikárp püspök és vértanú","4","02-23",,,,,,
"37","Szent Kázmér","4","03-04",,,,,,
"38","Szent Perpétua és Felicitász vértanúk","4","03-07",,,,,,
"39","Istenes Szent János szerzetes","4","03-08",,,,,,
"40","Római Szent Franciska szerzetesnő","4","03-09",,,,,,
"41","Szent Patrik püspök","4","03-17",,,,,,
"42","Jeruzsálemi Szent Cirill püspök és egyháztanító","4","03-18",,,,,,
"43","SZENT JÓZSEF a Boldogságos Szűz Mária jegyese","1","03-19","Misekönyv 595. oldal<br>
Íme, a hűséges és okos szolga,
akit az Úr háza népe fölé rendelt. 
(Vö. Lk 12,42)","Mindenható Istenünk,
te Szent József hűséges gondviselésére bíztad
megváltásunk kezdetének titkait.
Add, kérünk, hogy Egyházad az ő közbenjáró segítségével
szüntelenül folytassa és teljesítse az üdvösség szent művét.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Kérünk, Istenünk,
hogy amint Szent József odaadó, gyöngéd szeretettel gondját viselte
	egyszülött Fiadnak és édesanyjának, a Boldogságos Szűz Máriának,
úgy mi is tiszta szívvel szolgálhassunk oltárod előtt.
Krisztus, a mi Urunk által.","Szent Józsefről (és téged Szent József ünnepén), Misekönyv  460. oldal<br>
<i>SZENT JÓZSEFRŐL, A BOLDOGSÁGOS SZŰZ MÁRIA JEGYESÉRŐL<br>
Szent József küldetése<br>
61. A következő prefációt Szent József miséiben mondjuk, hozzáadva az ünnep megemlítését, amint az egyes miséknél található.</i><br><br>

Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>

(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
– és téged Szent József ÜNNepén (és Szent Józsefet TISZtelve)
illő hódolattal dicsérjünk, magasztaljunk és áldjunk.
<br>
Mert őt, az igaz férfit, az Istenszülő Szűznek jegyesül adtad,
mint hű és okos szolgát családod, fölé rendelted,
hogy atyai gonddal őrizze
– a Szentlélek erejéből megtestesült Fiadat,
  a mi Urunkat, Jézus Krisztust.
<br>
A te fölségedet általa dicsérik az angyalok,
és imádják az uralkodó szellemek,
– az égi hatalmak rettegik;
a mennyei seregek, az ég erői s a boldog szeráfkórusok
– ujjongva együtt tisztelik.
<br>
Add, kérünk, hogy az ő szavukhoz társuljon szózatunk,
– és alázatos megvallással mondjuk (zengjük):","Jól van, derék és hű szolgám:
menj be Urad örömébe!
 (Mt 25,21)","Kérünk, Istenünk, oltalmazd folytonos védelmeddel családodat,
amelyet Szent József örömünnepén
ennek az oltárnak kenyerével tápláltál.
Add, hogy ajándékaid megmaradjanak bennünk.
Krisztus, a mi Urunk által."
"44","Mongrovejói Szent Turibiusz püspök","4","03-23",,,,,,
"45","URUNK SZÜLETÉSÉNEK HÍRÜLADÁSA (Gyümölcsoltó Boldogasszony)","1","03-25","Misekönyv 596. oldal<br>
Így szólt az Úr, amikor a világba lépett:
Íme, eljöttem, hogy betöltsem akaratodat, Istenem. (Zsid 10,5.7)","Istenünk, te azt akartad, hogy örök Igéd
a Szent Szűz méhében emberi testet öltsön.
Add, kérünk, hogy mi, akik Megváltónkat
valóságos Istennek és valóságos embernek valljuk,
isteni természetének is részesei lehessünk.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Mindenható Istenünk, fogadd el kegyesen Egyházad adományait,
hogy mi, akik egyszülött Fiad megtestesülésében
szent közösségünk eredetét is ünnepeljük,
most az ő áldozatát örvendező lélekkel mutassuk be.
Aki él és uralkodik mindörökkön örökké.","Az Úr legyen veletek.
  H.: És a te lelkeddel.<br>
Emeljük föl szívünket.
  H.: Fölemeltük az Úrhoz.<br>
Adjunk hálát Urunknak, Istenünknek.
  H.: Méltó és igazságos.<br>
 
(Mert) Valóban méltó és igazságos, illő és üdvös,
hogy mindig és mindenütt hálát adjunk néked,
mi Urunk, szentséges Atyánk, mindenható, örök Isten:
– Krisztus, a mi Urunk által.
<br>
Ő emberként akart megszületni az emberekért a Szentlélek ereje által,
az égi hírnök szavára hittel fogadta őt a Szent Szűz,
– és szeplőtelen méhében szeretettel hordozta.
<br>
Így beteljesült a választott népnek adott ígéret,
– és csodálatosan megvalósult mindaz,
amit a nemzetek várva vártak.
<br>
A te fölségedet őáltala dicsőíti az angyalok hatalmas kórusa:
– boldogan áldanak,
mert mindörökké látnak téged.
Add, kérünk, hogy az ő szavukhoz társuljon szózatunk,
– és velük együtt
szüntelen ujjongással mondjuk (zengjük):","Íme, a Szűz méhében fogan, és fiút szül,
és Emmánuelnek fogja hívni. (Iz 7,14)","Urunk, Istenünk, vésd szívünkbe az igaz hitnek szent igazságait,
hogy mi, akik a Szűzanya Fiát
valóságos Istennek és valóságos embernek valljuk,
az ő üdvösségszerző feltámadásának ereje által
eljussunk az örök boldogságra.
Krisztus, a mi Urunk által."
"46","Paolai Szent Ferenc remete","5","04-02",,,,,,
"47","Szent Izidor püspök és egyháztanító","4","04-04c",,,,,,
"48","Ferrer Szent Vince áldozópap","4","04-05",,,,,,
"49","De la Salle Szent János áldozópap","3","04-07",,,,,,
"50","Szent Szaniszló püspök és vértanú","3","04-11",,,,,,
"51","Szent I. Márton pápa és vértanú","4","04-13",,,,,,
"52","Soubirous Szent Mária Bernadett szűz","4","04-16",,,,,,
"53","Szent Anzelm püspök és egyháztanító","4","04-21",,,,,,
"54","Szent Adalbert püspök és vértanú","3","04-23",,,,,,
"55","Szent György vértanú","4","04-24a",,,,,,
"56","Sigmaringeni Szent Fidél áldozópap és vértanú","4","04-24b",,,,,,
"57","Szent Márk evangélista","2","04-25","Misekönyv 604. oldal<br>
Menjetek el az egész világra,
és hirdessétek az Evangéliumot
minden teremtménynek, alleluja. 
(Mk 16,15)","Istenünk, te Szent Márk evangélistát kiválasztottad
az evangélium hirdetésének fönséges hivatására.
Kérünk, nevelj minket tanításával,
hogy hűségesen kövessük Krisztus példáját.
Aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, Szent Márk dicsőséges emlékezetét ünnepelve
bemutatjuk neked a dicséret áldozatát,
és könyörögve kérünk,
hogy az evangélium hirdetését szüntelenül tartsd fönn Egyházadban.
Krisztus, a mi Urunk által.","II. prefáció az apostolokról, Misekönyv 462. oldal","Íme, én veletek vagyok minden nap,
a világ végéig – mondja az Úr –, alleluja. (Mt 28,20)","Add meg, kérünk, mindenható Istenünk,
hogy szenteljen meg minket ez az ajándék,
amelyet oltárodról magunkhoz vettünk,
és segítsen, hogy hűségesek legyünk az evangéliumhoz,
amelyet Szent Márk hirdetett.
Krisztus, a mi Urunk által."
"58","Chanel Szent Péter áldozópap és vértanú","4","04-28",,,,,,
"59","Montforti Grignion Szent Lajos Mária áldozópap","4","04-28b",,,,,,
"60","Sienai Szent Katalin szűz és egyháztanító, Európa társvédőszentje","3","04-29",,,,,,
"61","Szent V. Piusz pápa","4","04-30",,,,,,
"62","Szent József, a munkás","4","05-01",,,,,,
"63","Szent Atanáz püspök és egyháztanító","3","05-02",,,,,,
"64","Szent Fülöp és Szent Jakab apostolok","2","05-03","Misekönyv 610. oldal<br>
Ezek azok a szent férfiak,
akiket igaz szeretettel választott ki az Úr,
örök dicsőségre vezette őket, alleluja!
","Istenünk,
te évről évre megörvendeztetsz minket
Szent Fülöp és Szent Jakab apostol ünnepével.
Tekints imádságaikra és add, hogy részesedve
Fiad szenvedésében és feltámadásában,
eljussunk örök látásodra.
A mi Urunk, Jézus Krisztus, a te Fiad által,
aki veled él és uralkodik a Szentlélekkel egységben,
Isten mindörökkön örökké.","Urunk, Istenünk, fogadd el adományainkat,
amelyeket Szent Fülöp és Szent Jakab apostol ünnepén bemutatunk előtted,
és tedd tisztává, feddhetetlenné vallásosságunkat.
Krisztus, a mi Urunk által.","I. vagy II. prefáció az apostolokról, Misekönyv 461–462. oldal","Uram, mutasd meg nekünk az Atyát,
és az elég nekünk.
Fülöp, aki engem látott, látta Atyámat is, alleluja! 
(Vö. Jn 14,8-9)","Kérünk, Istenünk, tisztítsd meg lelkünket szent ajándékaid által,
amelyeket magunkhoz vettünk,
hogy Szent Fülöp és Szent Jakab apostollal együtt
meglássunk téged Fiadban,
és eljussunk az örök életre.
Krisztus, a mi Urunk által."
"65","Szent Flórián vértanú","4","05-04",,,,,,
"66","Boldog Gizella","4","05-07",,,,,,
"67","Szent Néreusz és Szent Akhilleusz vértanúk","4","05-12a",,,,,,
"68","Szent Pongrác vértanú","4","05-12b",,,,,,
"69","A Fatimai Boldogságos Szűz Mária","4","05-13",,,,,,
"70","Nepomuki Szent János áldozópap és vértanú","4","05-16",,,,,,
"71","Szent I. János pápa és vértanú","4","05-18",,,,,,
"72","Sienai Szent Bernardin áldozópap","4","05-20",,,,,,
"73","Magallán Szent Kristóf áldozópap és társai, mexikói vértanúk","4","05-21",,,,,,
"74","Szent Rita szerzetesnő","4","05-22",,,,,,
"75","Boldog Apor Vilmos püspök és vértanú","4","05-23",,,,,,
"76","Szűz Mária, a keresztények segítsége","3","05-24",,,,,,
"77","Tiszteletreméltó Szent Béda áldozópap és egyháztanító","4","05-25a",,,,,,
"78","Szent VII. Gergely pápa","4","05-25b",,,,,,
"79","Pazzi Szent Mária Magdolna szűz","4","05-25c",,,,,,
"80","Néri Szent Fülöp áldozópap","3","05-26",,,,,,
"81","Canterburyi Szent Ágoston püspök","4","05-27",,,,,,
"82","Szent István király ereklyéinek átvitele","4","05-30",,,,,,
